SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K,CROPS
6.4,26.6,60.0,52.2,33.0,39.3,bengalgram
6.7,29.0,59.6,88.1,58.8,45.1,tapoica
6.7,23.0,87.9,110.3,47.9,58.3,sweet potato
8.0,24.1,72.3,88.4,42.0,55.1,cotton
8.1,24.4,83.6,56.1,34.9,23.9,castor
7.0,23.1,88.1,70.3,32.3,24.9,castor
6.0,32.7,20.0,30.6,24.3,22.6,panivaragu
6.8,22.1,94.9,60.2,39.2,34.8,sunflower
6.5,26.0,90.0,133.5,43.4,109.8,brinjal
7.3,31.2,68.5,74.9,43.6,59.6,cucumber
6.5,19.3,80.1,89.4,61.9,91.8,bottle gourd
6.8,24.2,15.2,39.7,28.3,26.0,thinai
7.4,27.9,80.0,79.9,49.2,59.4,tinda
7.3,32.3,89.4,68.4,47.1,45.9,jute
5.7,12.4,83.8,96.8,51.9,59.2,french bean
6.5,26.6,90.1,123.2,79.4,119.9,capsicum
6.4,23.4,80.4,109.8,71.5,105.2,chillies
6.9,23.0,91.6,55.1,21.8,34.9,soyabean
6.5,29.2,71.2,83.8,32.9,39.3,jute
6.8,26.8,83.2,67.8,46.7,52.4,elephant foot yam
6.5,23.5,58.9,104.5,42.5,42.3,wheat
7.2,22.9,82.4,89.4,41.5,50.5,cluster bean
6.5,21.4,84.6,69.7,44.8,55.0,chowchow
6.9,21.3,58.4,83.6,42.6,44.0,wheat
6.8,24.0,57.2,95.9,41.4,43.5,wheat
6.5,25.0,16.7,39.8,24.5,22.9,varagu
6.6,23.6,75.9,122.1,53.2,100.5,chillies
6.9,26.6,55.2,62.6,47.4,53.9,tapoica
6.3,25.4,81.1,104.9,60.0,93.3,watermelon
7.5,21.2,73.6,191.5,86.5,127.6,sugarcane
6.6,24.6,86.4,84.6,59.8,57.2,sweet potato
6.7,19.8,76.6,45.9,29.9,35.9,redgram
6.7,20.6,78.7,42.5,28.1,31.9,redgram
6.9,20.0,17.2,56.0,31.8,33.0,kudiraivali
6.4,23.8,17.8,36.2,29.5,28.8,ragi
7.8,21.7,78.4,83.1,46.5,42.7,cluster bean
6.1,20.4,77.5,92.3,57.9,54.8,chowchow
5.2,21.1,18.2,37.1,24.4,29.4,ragi
6.7,29.2,60.0,54.0,24.6,28.8,bengalgram
7.2,33.6,75.3,93.6,56.9,45.5,annual moringa
6.0,29.2,83.1,68.9,48.8,44.2,elephant foot yam
6.4,25.0,81.0,124.9,53.5,104.5,onion
6.9,22.7,79.3,125.5,71.7,93.3,tomato
6.5,44.4,19.8,36.6,22.8,23.8,panivaragu
6.3,25.2,59.2,86.2,44.4,55.7,tapoica
6.4,26.3,99.2,149.8,98.6,89.3,bhendi
5.5,20.0,80.6,85.3,51.1,47.6,chowchow
5.9,25.3,17.5,34.6,22.3,28.9,thinai
5.6,33.9,82.0,60.2,55.6,50.2,elephant foot yam
7.4,22.4,90.0,145.1,66.8,104.9,brinjal
7.2,23.3,87.0,67.9,32.2,34.9,castor
7.4,32.9,84.2,103.0,48.8,73.8,muskmelon
6.2,24.9,61.7,95.2,63.7,63.7,ash gourd
6.9,30.6,65.0,87.7,43.8,47.1,cucumber
6.8,27.0,95.8,112.1,79.5,113.2,bhendi
7.1,27.2,72.8,100.9,42.2,57.2,peas
5.7,21.2,65.9,135.7,77.0,67.3,maize
6.4,19.5,71.0,124.7,64.5,71.3,sugarbeet
6.2,25.7,79.1,132.6,53.5,82.2,chillies
7.3,26.4,66.5,26.2,33.0,36.7,greengram
5.7,30.9,85.6,31.6,35.2,25.8,gingely
6.1,18.2,99.3,81.4,53.4,51.9,beetroot
7.0,25.9,80.0,120.6,70.1,80.9,tomato
6.0,21.8,79.9,65.9,41.5,47.4,chowchow
6.4,25.4,18.3,30.0,20.3,29.1,varagu
7.0,24.9,69.9,169.9,80.0,122.3,sugarcane
5.7,19.4,80.7,63.4,51.0,56.0,chowchow
6.7,26.6,79.7,91.0,42.7,51.4,annual moringa
6.3,25.6,99.2,113.4,94.3,109.6,bhendi
6.9,28.2,80.5,40.3,39.7,32.4,redgram
6.8,28.8,66.1,25.3,30.3,29.7,greengram
6.5,23.0,84.7,145.0,61.7,95.6,chillies
7.4,30.3,17.4,21.4,28.3,36.0,blackgram
6.8,10.3,79.0,117.7,41.2,41.2,peas
6.6,25.7,68.5,85.5,49.7,77.6,pumpkin
6.6,27.2,60.0,51.8,26.8,29.0,bengalgram
5.8,23.5,60.0,43.1,20.9,35.4,bengalgram
7.0,21.3,58.4,86.5,52.1,43.4,wheat
6.3,24.4,97.7,149.7,70.8,117.0,bhendi
7.4,25.2,17.1,25.2,34.0,35.6,blackgram
6.5,25.1,78.4,63.9,53.5,45.5,tinda
5.9,30.6,68.6,99.7,40.0,49.9,rice
6.6,23.6,94.3,44.4,32.1,30.0,sunflower
6.8,20.4,90.0,143.2,72.9,89.1,brinjal
7.4,29.8,90.0,122.2,58.7,92.7,brinjal
6.4,20.4,76.1,117.4,69.4,108.7,onion
6.1,20.9,99.9,75.7,41.6,49.0,beetroot
6.0,24.6,82.8,132.9,66.7,103.6,onion
7.3,29.6,83.8,75.0,47.4,56.1,tinda
6.7,26.0,95.0,114.9,75.7,81.2,bhendi
6.4,23.9,84.7,123.0,68.9,106.5,onion
5.7,21.9,15.2,38.7,25.4,29.9,thinai
7.3,27.5,77.8,82.8,48.8,51.8,tinda
6.6,25.1,17.7,29.3,24.9,33.1,blackgram
6.6,13.6,65.0,60.3,43.5,46.0,groundnut
7.5,15.1,15.9,37.2,24.4,28.7,ragi
6.1,22.9,71.1,70.5,50.7,55.2,small onion
6.7,24.7,90.0,106.3,75.1,113.3,brinjal
6.7,22.5,19.8,32.4,20.2,27.4,panivaragu
6.9,21.0,62.0,76.3,59.9,84.4,pumpkin
6.7,20.8,60.0,55.8,36.3,26.4,bengalgram
6.2,24.9,75.4,95.4,50.0,76.1,watermelon
8.4,23.1,76.6,65.4,57.0,41.3,cluster bean
6.3,14.7,96.9,96.2,48.8,56.1,radish
6.8,20.0,16.8,57.1,32.7,33.2,kudiraivali
7.2,36.9,76.7,42.8,30.3,29.3,horsegram
7.4,29.7,90.0,127.5,48.1,115.5,brinjal
5.9,28.9,60.0,52.5,22.6,25.1,bengalgram
6.6,43.8,18.1,38.2,23.9,22.4,panivaragu
6.1,24.1,98.4,103.4,85.4,103.1,bhendi
6.9,22.4,71.7,59.4,30.5,30.0,soyabean
7.9,34.6,78.4,96.7,43.6,49.9,rice
8.8,32.3,17.4,37.2,26.8,29.8,samai
6.3,23.1,90.0,98.2,53.5,46.0,sweet potato
7.4,25.5,81.2,114.4,52.4,45.8,cotton
5.7,20.0,16.2,50.2,25.6,30.9,kudiraivali
6.8,19.5,86.7,63.3,25.2,24.0,soyabean
6.4,24.3,80.4,80.8,57.8,60.7,watermelon
6.6,27.4,68.4,72.1,50.5,79.6,ash gourd
6.1,32.9,80.4,32.8,20.8,23.5,gingely
5.8,20.8,76.7,61.0,51.8,59.5,chowchow
5.7,22.1,19.7,39.5,22.1,20.9,ragi
6.5,20.0,99.6,77.3,52.2,48.3,beetroot
7.2,25.3,66.6,195.6,83.0,139.5,sugarcane
6.7,32.6,63.7,99.4,49.3,44.4,cucumber
7.5,26.4,84.9,75.7,55.3,59.6,tinda
6.3,21.4,71.8,91.5,47.2,53.2,small onion
6.9,33.7,62.8,37.9,39.2,30.5,greengram
6.2,21.4,51.9,109.9,51.8,41.7,wheat
6.6,23.6,70.9,142.2,78.9,61.9,maize
6.0,27.6,81.7,66.5,53.8,54.4,elephant foot yam
6.0,18.1,78.0,99.0,42.1,46.2,chowchow
7.0,21.5,80.4,104.9,79.2,84.1,tomato
5.6,23.6,60.0,55.7,25.2,38.5,bengalgram
7.8,19.6,18.2,39.9,28.3,24.6,ragi
6.1,24.4,79.5,114.4,40.3,86.5,onion
6.4,28.0,77.8,137.0,64.4,96.6,chillies
7.3,38.9,91.9,61.7,44.6,50.0,sorghum
6.7,26.0,81.6,140.3,44.2,80.2,tomato
5.6,17.4,83.1,74.7,56.4,40.5,french bean
6.3,24.3,78.1,120.3,64.1,81.4,onion
6.9,28.4,53.7,87.8,46.8,43.3,tapoica
7.2,18.7,93.3,75.2,46.3,57.9,sorghum
6.9,22.0,79.5,40.4,34.9,35.7,redgram
6.7,6.7,99.4,100.0,50.0,57.1,cauliflower
5.6,22.4,80.3,71.2,56.0,49.0,vegetable cowpea
6.4,23.4,59.4,106.0,56.5,41.1,wheat
5.1,22.7,53.0,40.1,38.7,30.5,cowpea
6.7,31.1,75.7,82.1,44.7,97.3,muskmelon
7.1,26.6,61.5,92.8,55.1,54.8,cucumber
5.9,25.7,19.8,38.4,25.2,27.6,varagu
7.8,22.2,79.0,164.2,89.4,133.5,sugarcane
6.3,28.2,55.8,62.1,40.3,90.8,ash gourd
6.0,28.9,54.9,90.2,50.0,56.3,tapoica
7.6,21.5,89.1,53.7,39.5,24.3,sunflower
7.0,24.5,75.5,104.8,50.5,76.4,watermelon
7.0,23.6,90.0,123.6,61.9,85.9,brinjal
6.6,26.6,99.1,106.9,55.1,57.6,cauliflower
6.4,16.8,99.3,91.2,41.1,46.4,radish
6.2,20.0,50.5,37.8,27.3,34.4,cowpea
6.7,19.4,68.5,100.0,66.0,77.1,sugarbeet
6.3,25.7,53.2,97.9,45.3,46.1,tapoica
8.0,26.5,71.5,161.0,80.8,130.4,sugarcane
6.8,20.6,95.3,50.8,37.3,33.5,sunflower
7.2,28.4,77.8,65.7,65.4,84.0,ribbed gourd
6.2,21.7,79.7,76.0,44.5,42.2,chowchow
6.9,25.1,75.4,82.7,42.4,46.0,jute
7.0,25.3,92.0,43.6,30.5,29.7,pearl millet
7.4,23.2,76.0,156.8,71.9,133.3,sugarcane
5.5,22.8,19.1,34.9,28.0,22.7,thinai
6.0,18.1,78.4,73.3,43.3,43.5,chowchow
6.6,25.5,99.3,134.1,67.0,86.2,bhendi
6.5,18.5,78.2,96.7,58.4,82.9,bottle gourd
7.0,20.0,60.8,126.3,62.7,60.2,maize
6.5,33.4,81.4,91.7,54.9,84.1,muskmelon
6.8,29.6,60.0,52.4,30.3,23.6,bengalgram
6.8,26.1,85.5,96.4,64.7,85.5,bitter gourd
6.5,22.8,84.7,70.8,32.5,24.7,castor
6.5,7.6,99.0,108.5,60.5,95.6,cabbage
5.7,23.5,80.3,74.7,47.8,58.5,vegetable cowpea
6.3,29.3,52.3,58.2,29.7,26.5,cowpea
6.6,24.2,79.7,103.2,40.9,60.9,watermelon
6.6,19.4,98.2,83.7,49.6,49.7,beetroot
6.2,27.8,81.1,63.9,41.8,48.7,elephant foot yam
7.0,26.0,77.2,50.4,34.3,31.5,redgram
6.0,11.3,16.2,32.3,22.5,24.9,panivaragu
6.3,21.6,60.0,59.5,27.9,28.0,bengalgram
6.8,27.1,82.8,130.2,41.4,105.1,tomato
6.3,29.8,58.0,74.1,64.4,81.6,ash gourd
6.1,18.7,85.2,88.6,60.4,64.7,snake gourd
6.0,14.4,95.3,140.5,61.1,99.9,cabbage
7.4,29.1,82.6,109.6,56.5,99.0,muskmelon
9.0,36.5,18.0,33.9,21.9,24.1,samai
7.7,41.4,17.1,25.9,21.6,31.3,blackgram
8.0,24.7,83.3,90.5,48.9,45.0,cotton
6.2,24.9,95.4,130.3,76.2,109.0,bhendi
6.5,28.1,79.2,81.7,51.1,88.4,muskmelon
6.5,35.3,68.9,41.4,27.7,27.5,horsegram
6.6,32.9,65.0,77.8,40.7,54.1,groundnut
7.2,20.6,17.2,24.3,25.5,29.8,blackgram
7.1,33.0,65.2,28.7,24.5,36.7,greengram
6.3,28.3,18.1,32.1,20.1,20.8,thinai
6.6,24.0,75.9,186.1,68.6,129.1,sugarcane
6.9,31.6,82.6,69.1,77.5,99.2,ribbed gourd
7.2,35.9,77.8,82.2,40.4,52.3,rice
6.7,28.6,89.2,91.8,46.4,89.4,bitter gourd
6.5,39.5,65.0,60.4,54.0,50.4,groundnut
7.0,22.5,57.2,111.3,56.7,59.9,wheat
6.4,20.2,76.1,102.8,63.6,84.6,onion
7.0,22.5,96.2,69.7,21.3,32.1,castor
6.8,28.4,76.2,62.5,60.0,42.0,tinda
6.7,29.1,83.5,100.4,57.5,55.7,peas
6.3,20.7,81.1,65.1,42.5,54.2,chowchow
6.3,17.7,62.6,81.0,71.1,75.1,carrot
7.2,38.8,17.4,32.9,34.9,36.3,blackgram
6.3,20.7,81.8,94.2,77.0,78.5,bottle gourd
7.5,31.9,62.4,75.4,43.9,43.4,cucumber
7.5,29.8,99.0,31.5,38.2,38.3,gingely
7.0,29.5,70.5,57.8,20.2,33.0,horsegram
7.4,34.0,81.0,113.3,40.1,67.5,muskmelon
6.1,12.1,18.4,37.9,24.1,23.8,panivaragu
6.5,19.9,81.2,72.0,55.8,52.7,chowchow
5.9,21.1,52.3,33.8,37.6,39.8,cowpea
6.2,20.9,75.2,79.7,55.2,55.9,chowchow
6.0,28.6,56.3,62.0,67.5,90.3,ash gourd
7.3,27.1,82.1,101.0,48.2,74.5,muskmelon
6.8,28.4,64.8,47.2,30.2,35.3,horsegram
6.6,24.1,91.9,67.7,21.5,21.6,soyabean
5.8,25.7,16.7,33.2,22.1,28.8,varagu
7.0,25.8,90.0,144.8,76.4,96.6,brinjal
6.3,26.9,99.4,121.1,72.6,103.0,bhendi
7.8,21.2,92.7,68.9,30.2,24.5,sunflower
7.6,24.3,82.6,57.8,39.1,31.5,sunflower
5.6,23.6,82.4,84.2,52.3,57.3,vegetable cowpea
6.3,19.3,88.7,89.5,79.5,85.7,snake gourd
5.8,24.1,79.7,84.3,47.9,54.8,vegetable cowpea
6.8,26.0,98.0,119.4,83.2,119.8,bhendi
7.5,24.0,89.3,110.1,51.2,53.0,cotton
5.9,15.5,94.5,137.8,69.8,95.7,capsicum
6.3,26.6,89.3,61.9,53.6,67.4,snake gourd
5.7,19.4,17.5,36.1,25.3,24.3,ragi
6.2,20.0,15.2,42.5,34.7,22.8,kudiraivali
6.4,12.4,18.5,36.2,27.7,21.5,ragi
7.2,25.1,84.6,65.9,53.9,44.0,tinda
6.3,34.1,83.7,82.9,43.3,57.0,elephant foot yam
5.6,29.1,50.9,38.0,32.5,36.0,cowpea
6.3,22.4,56.4,113.5,53.0,48.6,wheat
6.8,18.4,65.0,70.3,44.0,53.2,groundnut
6.3,19.2,79.5,71.0,59.6,89.5,bottle gourd
6.8,20.3,17.3,28.7,32.9,37.0,blackgram
7.2,24.8,76.5,114.3,58.4,78.9,watermelon
5.3,38.4,65.5,82.1,54.0,46.1,rice
6.7,26.4,56.1,93.2,41.9,44.4,tapoica
6.0,24.3,81.2,146.9,43.8,100.3,onion
6.4,23.9,89.2,95.8,45.4,44.8,sweet potato
6.1,19.6,78.8,69.1,65.4,88.5,bottle gourd
6.6,25.6,15.6,37.7,24.2,22.9,thinai
6.7,26.9,78.2,175.0,65.9,138.0,sugarcane
8.1,26.0,97.0,53.5,27.9,31.4,castor
6.7,34.0,74.0,65.6,34.6,46.9,jute
6.4,23.1,85.5,87.8,50.1,82.4,snake gourd
7.3,25.9,84.4,118.1,43.2,59.8,annual moringa
7.0,30.3,60.2,95.5,44.8,51.9,cucumber
6.9,20.7,99.9,71.3,53.0,44.1,beetroot
6.7,20.9,82.6,106.6,50.7,54.3,peas
6.5,21.0,87.0,83.2,49.4,45.3,sweet potato
5.8,26.4,17.7,37.4,21.9,27.8,varagu
6.8,34.8,72.0,41.1,20.9,37.6,horsegram
6.4,22.8,57.5,85.7,53.3,53.1,wheat
6.7,28.9,81.3,66.9,65.4,85.6,bitter gourd
6.2,21.1,92.9,146.5,83.8,80.6,cabbage
5.9,28.2,84.7,79.5,43.9,52.5,vegetable cowpea
7.5,24.5,84.0,81.9,46.5,52.2,cluster bean
5.8,16.0,80.5,68.9,52.3,52.4,french bean
7.3,24.3,76.9,73.2,44.3,47.1,cluster bean
7.1,27.0,78.6,117.0,43.7,52.4,cotton
7.2,33.8,66.0,91.5,58.0,59.0,cucumber
6.6,42.4,18.5,38.8,28.4,21.7,panivaragu
6.6,24.9,82.2,106.4,59.7,41.8,peas
6.8,28.7,90.9,112.5,73.1,106.9,capsicum
7.9,26.2,78.5,96.4,47.4,41.4,annual moringa
6.3,27.5,50.0,45.5,39.9,38.5,cowpea
6.4,20.4,54.4,39.9,26.2,30.1,cowpea
5.5,28.9,83.7,96.1,49.1,49.2,elephant foot yam
6.1,21.0,76.7,77.9,45.4,54.0,chowchow
5.5,23.6,60.0,51.6,29.1,38.2,bengalgram
6.6,27.1,17.4,37.1,28.0,29.2,thinai
5.9,20.0,18.8,53.3,22.2,36.8,kudiraivali
7.3,14.9,86.3,119.4,59.3,58.8,peas
6.1,25.2,53.5,47.7,28.4,32.8,cowpea
6.4,24.2,18.5,36.3,24.4,23.9,thinai
5.9,21.2,86.4,100.0,42.4,56.0,sweet potato
7.6,22.5,82.9,85.9,42.7,48.6,cotton
6.1,28.4,56.9,70.0,41.7,49.8,tapoica
7.4,25.6,70.7,106.8,58.8,56.2,cotton
6.6,27.3,83.8,63.2,43.4,61.0,ribbed gourd
6.6,10.5,95.8,64.7,55.0,49.0,radish
6.2,19.7,70.8,93.4,53.7,54.3,small onion
6.5,27.1,84.6,69.1,58.5,62.4,bitter gourd
6.1,19.2,99.5,82.9,46.9,45.7,beetroot
6.1,26.1,85.7,61.4,31.4,48.9,jute
6.8,17.8,95.9,93.7,42.6,41.3,cauliflower
6.3,14.3,98.3,145.0,65.3,96.5,cabbage
6.6,29.7,83.5,107.7,79.7,114.8,tomato
6.2,18.5,76.8,77.9,78.9,80.8,bottle gourd
6.4,13.5,88.1,58.4,38.1,24.9,pearl millet
5.6,26.8,17.8,36.5,22.7,22.0,varagu
6.8,19.8,99.4,82.7,59.4,49.7,beetroot
6.9,26.1,91.7,85.1,48.7,72.1,bitter gourd
6.7,28.6,74.5,76.3,32.9,20.1,soyabean
7.2,29.3,79.3,84.9,46.8,53.6,cotton
7.0,20.5,78.0,128.5,73.3,77.8,sugarbeet
6.8,20.0,16.1,42.5,32.5,34.6,kudiraivali
5.9,28.8,75.3,70.4,55.2,49.7,vegetable cowpea
6.9,26.5,83.1,95.6,47.3,93.7,watermelon
6.3,34.9,83.5,89.7,59.8,57.7,elephant foot yam
5.6,22.2,82.0,80.6,49.0,44.8,french bean
7.4,25.2,98.3,72.3,25.3,27.0,castor
5.9,28.7,84.5,90.8,50.8,52.4,vegetable cowpea
7.2,25.8,65.3,88.4,41.6,44.5,cucumber
6.1,24.9,70.6,141.8,86.0,87.0,maize
6.9,26.5,88.1,68.1,53.7,60.0,bitter gourd
6.8,20.8,79.2,41.6,21.6,35.0,redgram
6.1,22.9,83.6,88.1,75.7,95.0,bottle gourd
8.2,21.6,77.7,77.4,57.6,56.4,cluster bean
7.3,29.9,73.2,102.6,57.9,53.7,cotton
6.6,26.8,89.7,69.5,71.3,96.2,snake gourd
6.7,27.4,53.2,73.0,52.6,45.7,tapoica
6.9,21.2,51.6,98.2,40.6,42.0,wheat
6.9,21.3,66.1,101.0,78.5,74.7,sugarbeet
7.6,22.7,81.4,72.6,45.8,46.5,cluster bean
6.3,26.1,80.4,80.3,41.9,69.7,bottle gourd
6.2,26.0,67.2,78.8,60.6,99.4,pumpkin
6.8,21.7,77.8,40.6,22.3,28.3,redgram
7.2,33.1,73.6,100.0,46.1,54.1,rice
5.3,25.4,53.1,50.8,38.1,37.2,cowpea
6.0,11.6,93.5,106.4,95.0,115.4,cabbage
5.9,24.2,81.5,95.6,54.6,58.6,vegetable cowpea
6.1,19.7,90.0,149.6,64.1,88.2,brinjal
6.1,18.4,94.3,105.5,64.5,81.0,cabbage
5.4,31.6,63.5,88.6,42.8,43.1,rice
6.4,27.4,55.6,64.6,51.3,58.0,tapoica
6.8,29.3,75.7,88.6,72.9,92.6,ribbed gourd
5.7,25.7,15.6,31.7,22.0,22.3,varagu
6.2,21.6,81.0,62.3,51.5,58.2,chowchow
7.0,30.8,78.4,70.2,49.3,67.6,ribbed gourd
6.5,19.4,67.5,80.1,63.7,60.2,carrot
8.0,21.4,79.7,88.1,55.2,53.3,cluster bean
6.6,17.9,60.7,89.8,63.9,87.8,carrot
6.2,9.0,97.4,118.5,81.9,84.4,cabbage
6.5,24.8,86.5,91.2,52.9,57.8,sweet potato
7.1,23.4,73.7,179.5,65.1,123.2,sugarcane
7.0,22.3,77.7,144.6,44.2,93.6,tomato
5.0,27.9,51.9,54.4,24.1,29.8,cowpea
7.3,23.5,81.8,84.2,59.7,56.5,cluster bean
6.5,28.4,63.7,33.6,39.0,28.8,greengram
6.2,24.7,84.2,46.3,31.6,38.4,castor
6.1,26.1,54.1,36.0,38.7,28.0,cowpea
6.8,26.2,76.9,88.7,58.9,68.4,muskmelon
6.0,22.0,81.3,146.8,40.2,116.0,onion
6.2,25.4,92.6,56.3,23.3,32.7,castor
5.9,21.8,75.2,91.1,48.4,49.0,chowchow
7.3,20.3,90.0,119.4,75.4,95.2,brinjal
6.3,24.7,75.4,108.8,45.6,116.8,onion
7.4,27.8,77.0,61.5,42.3,60.1,ribbed gourd
5.6,27.9,84.4,70.1,50.1,55.0,elephant foot yam
6.6,11.1,95.3,86.4,47.4,57.7,cauliflower
6.5,21.3,87.4,91.1,42.4,43.9,sweet potato
6.4,26.7,53.5,47.2,22.7,39.5,cowpea
5.7,21.3,81.1,71.1,48.6,59.9,chowchow
6.4,21.3,50.5,45.1,33.4,27.9,cowpea
6.1,33.2,86.9,25.8,23.1,36.8,gingely
6.6,17.1,65.0,62.5,40.8,43.8,groundnut
6.3,23.2,79.9,122.5,58.9,91.8,onion
6.7,22.7,66.6,84.7,62.3,97.9,pumpkin
7.3,37.7,98.2,69.1,42.5,41.9,sorghum
6.1,23.1,81.7,62.7,53.6,60.1,bottle gourd
8.5,29.5,16.4,31.7,29.5,26.2,samai
6.7,15.1,86.3,118.0,40.3,47.0,peas
8.5,21.4,81.5,61.8,54.8,44.3,cluster bean
6.4,21.4,94.5,139.7,68.3,115.3,capsicum
6.2,30.1,77.6,51.2,29.2,21.6,soyabean
6.1,26.6,96.9,124.4,62.5,119.8,bhendi
6.7,26.4,51.1,79.2,46.2,50.0,tapoica
6.2,30.3,89.2,25.8,28.7,31.3,gingely
5.7,18.7,76.1,70.9,47.2,55.1,chowchow
6.5,24.7,90.6,121.9,70.5,87.9,capsicum
6.4,29.0,92.1,121.2,67.7,117.4,capsicum
5.1,24.5,53.9,36.2,24.0,24.5,cowpea
6.7,30.9,64.7,86.1,53.8,44.0,cucumber
5.8,25.4,18.4,32.6,28.8,27.8,varagu
6.0,18.2,76.2,71.6,56.0,72.7,bottle gourd
6.5,26.6,88.4,65.0,43.1,92.0,snake gourd
6.9,22.1,61.7,120.8,73.2,66.3,maize
5.7,25.7,19.9,30.3,25.1,26.3,varagu
6.6,32.2,82.5,114.5,50.3,66.6,muskmelon
6.7,11.2,17.6,36.5,29.4,26.1,ragi
5.7,20.9,78.7,141.1,66.9,69.3,maize
7.3,15.8,93.7,51.3,33.1,33.5,pearl millet
5.7,16.7,94.4,103.9,74.1,89.8,capsicum
6.6,12.7,98.2,89.3,42.3,48.9,radish
5.9,26.5,83.2,61.3,56.5,56.1,vegetable cowpea
7.2,24.7,78.1,88.9,45.5,47.3,peas
6.6,25.0,98.0,124.5,83.1,116.1,bhendi
6.3,34.2,80.9,68.1,57.8,49.7,elephant foot yam
5.2,23.3,99.2,49.8,34.3,33.2,castor
5.6,26.0,15.7,38.8,20.7,24.9,varagu
6.5,28.4,52.5,78.1,58.9,51.4,tapoica
6.1,22.4,81.2,105.2,54.2,109.6,onion
5.9,12.0,99.9,61.9,59.1,42.5,radish
7.3,21.5,71.2,154.0,85.6,138.2,sugarcane
6.1,21.9,85.7,102.2,45.4,48.4,sweet potato
6.6,33.6,82.7,115.6,55.0,90.9,muskmelon
6.6,16.3,61.6,101.0,66.4,64.3,carrot
6.5,21.9,94.4,49.2,36.4,22.4,pearl millet
6.7,26.7,80.4,106.0,41.4,80.7,chillies
7.8,23.9,81.6,86.0,48.6,58.3,cluster bean
6.5,26.1,84.3,103.4,52.1,77.4,muskmelon
6.9,31.5,78.4,60.6,27.1,36.7,soyabean
7.9,33.5,72.9,87.6,59.4,45.7,rice
7.1,29.9,63.0,30.8,21.3,31.7,greengram
7.8,24.2,81.0,91.9,48.7,52.0,cluster bean
7.4,33.5,80.5,99.7,70.8,62.4,ribbed gourd
6.2,30.6,80.3,61.8,41.5,45.4,elephant foot yam
6.4,20.5,66.2,72.4,50.5,55.1,small onion
6.7,18.3,86.3,72.5,53.7,62.1,snake gourd
6.5,20.0,18.8,58.1,21.8,33.3,kudiraivali
8.9,39.1,18.9,38.7,26.4,24.8,samai
6.2,32.4,80.0,75.9,57.4,45.4,elephant foot yam
7.1,27.1,83.3,73.3,57.1,55.4,tinda
7.6,40.0,61.6,80.5,45.1,52.8,rice
7.1,31.9,99.6,63.1,40.8,42.9,sorghum
6.4,26.7,18.4,32.4,29.4,21.9,varagu
6.9,25.5,65.6,40.0,24.8,36.3,greengram
6.3,42.4,18.6,31.7,26.3,21.6,panivaragu
6.6,10.9,97.1,80.4,56.6,54.5,cauliflower
6.4,23.8,51.5,50.0,21.2,28.5,cowpea
7.4,27.8,81.1,102.6,41.5,55.2,cotton
6.2,25.0,63.4,160.7,72.4,71.8,maize
6.5,22.9,55.5,104.7,53.6,55.1,wheat
5.9,24.8,87.9,118.7,56.6,58.1,sweet potato
6.9,22.9,85.2,71.9,32.9,37.5,sunflower
6.6,14.6,96.3,119.6,41.4,42.4,cauliflower
6.6,20.2,86.4,54.3,30.3,34.4,soyabean
6.2,23.1,19.1,31.9,23.7,24.4,thinai
6.1,20.0,18.0,48.9,29.0,28.5,kudiraivali
5.8,26.0,17.4,39.5,23.5,21.6,panivaragu
6.6,34.4,81.4,71.2,36.1,36.4,jute
7.2,32.8,81.8,32.4,30.9,32.5,gingely
6.7,25.6,80.8,134.5,40.7,95.8,chillies
5.7,28.2,52.8,39.3,34.0,37.9,cowpea
6.2,29.8,76.7,124.1,45.5,112.8,chillies
5.2,22.2,96.4,43.6,32.2,22.2,castor
7.1,18.6,83.0,101.3,45.6,105.4,tomato
6.9,18.5,98.9,62.3,47.1,50.0,beetroot
6.0,22.8,67.9,74.2,79.1,73.9,pumpkin
5.8,18.8,15.8,36.2,25.2,21.4,panivaragu
6.6,23.9,97.3,68.0,37.5,21.2,sunflower
5.8,26.0,63.4,124.3,64.4,67.0,maize
7.0,27.9,78.8,49.8,34.0,32.1,redgram
7.2,27.5,80.3,90.2,42.9,54.9,tinda
6.8,28.5,57.7,94.1,44.5,53.3,tapoica
7.0,26.5,82.8,94.0,60.1,80.9,bitter gourd
6.0,23.2,73.1,96.0,43.8,42.8,small onion
6.7,25.8,69.7,70.9,46.1,62.0,pumpkin
7.4,19.7,92.4,60.0,42.4,54.9,sorghum
5.8,15.2,84.9,94.9,60.0,57.1,french bean
6.7,23.5,99.1,118.8,44.7,54.6,cauliflower
6.1,26.9,96.8,116.4,97.1,87.2,bhendi
6.5,28.5,80.4,132.7,45.6,99.5,chillies
6.4,24.4,83.8,119.4,70.4,101.4,onion
5.6,11.3,98.0,74.6,43.2,57.2,radish
7.0,26.0,77.3,193.6,62.7,132.9,sugarcane
6.2,24.9,84.6,91.4,46.8,90.7,watermelon
7.4,26.5,75.8,100.8,49.7,76.1,muskmelon
7.0,14.3,65.0,56.9,53.8,55.8,groundnut
6.7,25.5,90.7,83.8,70.1,70.0,bitter gourd
6.1,10.8,95.4,75.3,56.7,54.2,radish
7.3,26.5,77.2,110.7,48.9,63.5,watermelon
7.6,28.8,80.5,85.1,43.7,58.8,cotton
5.9,19.2,15.8,31.2,27.4,24.9,panivaragu
